"date","date_published","measure","group","interval","min_age","max_age","proportion"
2020-04-28,2020-04-29T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
2020-04-28,2020-04-29T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
2020-04-28,2020-04-29T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.022
2020-04-28,2020-04-29T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.045
2020-04-28,2020-04-29T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.247
2020-04-28,2020-04-29T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.686
2020-04-29,2020-04-30T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
2020-04-29,2020-04-30T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
2020-04-29,2020-04-30T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
2020-04-29,2020-04-30T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.022
2020-04-29,2020-04-30T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.045
2020-04-29,2020-04-30T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.244
2020-04-29,2020-04-30T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.689
2020-04-30,2020-05-01T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,
2020-04-30,2020-05-01T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,
2020-04-30,2020-05-01T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,
2020-04-30,2020-05-01T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,
2020-04-30,2020-05-01T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,
2020-04-30,2020-05-01T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,
2020-04-30,2020-05-01T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,
2020-05-01,2020-05-02T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
2020-05-01,2020-05-02T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
2020-05-01,2020-05-02T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
2020-05-01,2020-05-02T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.022
2020-05-01,2020-05-02T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.043
2020-05-01,2020-05-02T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.242
2020-05-01,2020-05-02T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.693
2020-05-02,2020-05-03T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
2020-05-02,2020-05-03T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
2020-05-02,2020-05-03T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
2020-05-02,2020-05-03T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.021
2020-05-02,2020-05-03T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.042
2020-05-02,2020-05-03T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.234
2020-05-02,2020-05-03T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.703
2020-05-03,2020-05-04T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
2020-05-03,2020-05-04T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
2020-05-03,2020-05-04T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
2020-05-03,2020-05-04T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.02
2020-05-03,2020-05-04T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.052
2020-05-03,2020-05-04T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.232
2020-05-03,2020-05-04T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.696
2020-05-04,2020-05-06T16:45:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
