date_start,date_end,date_published,measure,spatial_unit_type,ISO 3166-2:LU,LAU,LAU1_2012,LAU2_2012,LAU1_2010,LAU2_2010,name,residents,cases_new,cases_new_per_week_100k
2020-08-03,2020-08-23,2020-08-26T15:45:00.000+02:00,cases_residents_new,canton,LU-RD,,07,,08,,Redange,19649,5,8.48
2020-08-03,2020-08-23,2020-08-26T15:45:00.000+02:00,cases_residents_new,canton,LU-RM,,12,,13,,Remich,23399,11,15.67
2020-08-03,2020-08-23,2020-08-26T15:45:00.000+02:00,cases_residents_new,canton,LU-VD,,09,,10,,Vianden,5474,1,6.09
2020-08-03,2020-08-23,2020-08-26T15:45:00.000+02:00,cases_residents_new,canton,LU-WI,,08,,09,,Wiltz,17866,8,14.93
2020-08-03,2020-08-23,2020-08-26T15:45:00.000+02:00,cases_residents_new,municipality,,0304,03,04,00,01,Luxembourg-Ville,122825,159,43.15
2020-08-03,2020-08-23,2020-08-26T15:45:00.000+02:00,cases_residents_new,canton_equivalent,,,,,04,,Luxembourg-Campagne,68517,81,39.41
2020-08-10,2020-08-30,2020-09-02T14:45:00.000+02:00,cases_residents_new,canton,LU-CA,,01,,02,,Capellen,50343,58,38.40
2020-08-10,2020-08-30,2020-09-02T14:45:00.000+02:00,cases_residents_new,canton,LU-CL,,05,,06,,Clervaux,19043,1,1.75
2020-08-10,2020-08-30,2020-09-02T14:45:00.000+02:00,cases_residents_new,canton,LU-DI,,06,,07,,Diekirch,33865,23,22.64
2020-08-10,2020-08-30,2020-09-02T14:45:00.000+02:00,cases_residents_new,canton,LU-EC,,10,,11,,Echternach,19264,12,20.76
2020-08-10,2020-08-30,2020-09-02T14:45:00.000+02:00,cases_residents_new,canton,LU-ES,,02,,03,,Esch-sur-Alzette,183943,306,55.45
2020-08-10,2020-08-30,2020-09-02T14:45:00.000+02:00,cases_residents_new,canton,LU-GR,,11,,12,,Grevenmacher,31137,25,26.76
2020-08-10,2020-08-30,2020-09-02T14:45:00.000+02:00,cases_residents_new,canton,LU-LU,,03,,,,Luxembourg,191342,283,49.30
2020-08-10,2020-08-30,2020-09-02T14:45:00.000+02:00,cases_residents_new,canton,LU-ME,,04,,05,,Mersch,33607,24,23.80
2020-08-10,2020-08-30,2020-09-02T14:45:00.000+02:00,cases_residents_new,canton,LU-RD,,07,,08,,Redange,19649,8,13.57
2020-08-10,2020-08-30,2020-09-02T14:45:00.000+02:00,cases_residents_new,canton,LU-RM,,12,,13,,Remich,23399,7,9.97
2020-08-10,2020-08-30,2020-09-02T14:45:00.000+02:00,cases_residents_new,canton,LU-VD,,09,,10,,Vianden,5474,0,0.00
2020-08-10,2020-08-30,2020-09-02T14:45:00.000+02:00,cases_residents_new,canton,LU-WI,,08,,09,,Wiltz,17866,12,22.39
2020-08-10,2020-08-30,2020-09-02T14:45:00.000+02:00,cases_residents_new,municipality,,0304,03,04,00,01,Luxembourg-Ville,122825,198,53.73
2020-08-10,2020-08-30,2020-09-02T14:45:00.000+02:00,cases_residents_new,canton_equivalent,,,,,04,,Luxembourg-Campagne,68517,85,41.35
2020-08-17,2020-09-06,2020-09-09T17:32:00.000+02:00,cases_residents_new,canton,LU-CA,,01,,02,,Capellen,50343,47,31.12
2020-08-17,2020-09-06,2020-09-09T17:32:00.000+02:00,cases_residents_new,canton,LU-CL,,05,,06,,Clervaux,19043,7,12.25
2020-08-17,2020-09-06,2020-09-09T17:32:00.000+02:00,cases_residents_new,canton,LU-DI,,06,,07,,Diekirch,33865,23,22.64
2020-08-17,2020-09-06,2020-09-09T17:32:00.000+02:00,cases_residents_new,canton,LU-EC,,10,,11,,Echternach,19264,9,15.57
2020-08-17,2020-09-06,2020-09-09T17:32:00.000+02:00,cases_residents_new,canton,LU-ES,,02,,03,,Esch-sur-Alzette,183943,329,59.62
2020-08-17,2020-09-06,2020-09-09T17:32:00.000+02:00,cases_residents_new,canton,LU-GR,,11,,12,,Grevenmacher,31137,27,28.90
2020-08-17,2020-09-06,2020-09-09T17:32:00.000+02:00,cases_residents_new,canton,LU-LU,,03,,,,Luxembourg,191342,325,56.62
2020-08-17,2020-09-06,2020-09-09T17:32:00.000+02:00,cases_residents_new,canton,LU-ME,,04,,05,,Mersch,33607,28,27.77
2020-08-17,2020-09-06,2020-09-09T17:32:00.000+02:00,cases_residents_new,canton,LU-RD,,07,,08,,Redange,19649,12,20.36
2020-08-17,2020-09-06,2020-09-09T17:32:00.000+02:00,cases_residents_new,canton,LU-RM,,12,,13,,Remich,23399,15,21.37
2020-08-17,2020-09-06,2020-09-09T17:32:00.000+02:00,cases_residents_new,canton,LU-VD,,09,,10,,Vianden,5474,1,6.09
2020-08-17,2020-09-06,2020-09-09T17:32:00.000+02:00,cases_residents_new,canton,LU-WI,,08,,09,,Wiltz,17866,13,24.25
2020-08-17,2020-09-06,2020-09-09T17:32:00.000+02:00,cases_residents_new,municipality,,0304,03,04,00,01,Luxembourg-Ville,122825,237,64.32
2020-08-17,2020-09-06,2020-09-09T17:32:00.000+02:00,cases_residents_new,canton_equivalent,,,,,04,,Luxembourg-Campagne,68517,88,42.81
2020-08-24,2020-09-13,2020-09-16T17:16:00.000+02:00,cases_residents_new,canton,LU-CA,,01,,02,,Capellen,50343,45,29.80
2020-08-24,2020-09-13,2020-09-16T17:16:00.000+02:00,cases_residents_new,canton,LU-CL,,05,,06,,Clervaux,19043,8,14.00
2020-08-24,2020-09-13,2020-09-16T17:16:00.000+02:00,cases_residents_new,canton,LU-DI,,06,,07,,Diekirch,33865,31,30.51
2020-08-24,2020-09-13,2020-09-16T17:16:00.000+02:00,cases_residents_new,canton,LU-EC,,10,,11,,Echternach,19264,7,12.11
2020-08-24,2020-09-13,2020-09-16T17:16:00.000+02:00,cases_residents_new,canton,LU-ES,,02,,03,,Esch-sur-Alzette,183943,342,61.98
2020-08-24,2020-09-13,2020-09-16T17:16:00.000+02:00,cases_residents_new,canton,LU-GR,,11,,12,,Grevenmacher,31137,29,31.05
2020-08-24,2020-09-13,2020-09-16T17:16:00.000+02:00,cases_residents_new,canton,LU-LU,,03,,,,Luxembourg,191342,299,52.09
2020-08-24,2020-09-13,2020-09-16T17:16:00.000+02:00,cases_residents_new,canton,LU-ME,,04,,05,,Mersch,33607,37,36.70
2020-08-24,2020-09-13,2020-09-16T17:16:00.000+02:00,cases_residents_new,canton,LU-RD,,07,,08,,Redange,19649,14,23.75
2020-08-24,2020-09-13,2020-09-16T17:16:00.000+02:00,cases_residents_new,canton,LU-RM,,12,,13,,Remich,23399,15,21.37
2020-08-24,2020-09-13,2020-09-16T17:16:00.000+02:00,cases_residents_new,canton,LU-VD,,09,,10,,Vianden,5474,1,6.09
