"source","date","date_published","measure","group","interval","min_age","max_age","proportion"
graphs_age_distribution,2020-04-30,2020-05-01T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,
graphs_age_distribution,2020-05-01,2020-05-02T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
graphs_age_distribution,2020-05-01,2020-05-02T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
graphs_age_distribution,2020-05-01,2020-05-02T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
graphs_age_distribution,2020-05-01,2020-05-02T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.022
graphs_age_distribution,2020-05-01,2020-05-02T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.043
graphs_age_distribution,2020-05-01,2020-05-02T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.242
graphs_age_distribution,2020-05-01,2020-05-02T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.693
graphs_age_distribution,2020-05-02,2020-05-03T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
graphs_age_distribution,2020-05-02,2020-05-03T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
graphs_age_distribution,2020-05-02,2020-05-03T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
graphs_age_distribution,2020-05-02,2020-05-03T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.021
graphs_age_distribution,2020-05-02,2020-05-03T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.042
graphs_age_distribution,2020-05-02,2020-05-03T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.234
graphs_age_distribution,2020-05-02,2020-05-03T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.703
graphs_age_distribution,2020-05-03,2020-05-04T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
graphs_age_distribution,2020-05-03,2020-05-04T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
graphs_age_distribution,2020-05-03,2020-05-04T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
graphs_age_distribution,2020-05-03,2020-05-04T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.02
graphs_age_distribution,2020-05-03,2020-05-04T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.052
graphs_age_distribution,2020-05-03,2020-05-04T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.232
graphs_age_distribution,2020-05-03,2020-05-04T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.696
graphs_age_distribution,2020-05-04,2020-05-06T16:45:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
graphs_age_distribution,2020-05-04,2020-05-06T16:45:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
graphs_age_distribution,2020-05-04,2020-05-06T16:45:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
graphs_age_distribution,2020-05-04,2020-05-06T16:45:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.02
graphs_age_distribution,2020-05-04,2020-05-06T16:45:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.05
graphs_age_distribution,2020-05-04,2020-05-06T16:45:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.24
graphs_age_distribution,2020-05-04,2020-05-06T16:45:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.69
graphs_age_distribution,2020-05-05,2020-05-06T17:45:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
graphs_age_distribution,2020-05-05,2020-05-06T17:45:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
graphs_age_distribution,2020-05-05,2020-05-06T17:45:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
graphs_age_distribution,2020-05-05,2020-05-06T17:45:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.02
graphs_age_distribution,2020-05-05,2020-05-06T17:45:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.05
graphs_age_distribution,2020-05-05,2020-05-06T17:45:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.24
